Link,Node1,X,Y,Node2,X,Y
1,1,-480.541,291.127,2,654.643,603.804
2,3,-55.855,431.795,4,204.491,470.854
3,5,3162.689,652.535,6,3580.361,824.716
4,7,3581.255,827.623,8,3759.266,995.017
5,9,3587.151,822.302,10,3771.846,970.171
6,11,3773.334,973.270,12,3977.431,1320.346
7,13,3775.258,969.972,14,4223.169,941.707
8,15,4001.630,1312.745,16,3562.067,855.482
9,17,3755.777,1058.807,18,3558.699,863.954
10,19,3560.196,858.537,20,3051.481,666.685
11,21,3048.555,664.150,22,2347.481,645.211
12,23,3043.199,676.403,24,2769.781,671.440
13,25,4755.898,1957.306,26,5338.890,2362.954
14,27,2769.177,669.588,28,2598.443,675.872
15,29,2769.209,673.298,30,2860.437,772.865
16,31,2858.187,777.822,32,2598.139,679.521
17,33,2595.706,677.696,34,1731.800,664.010
18,35,1737.579,673.438,36,1647.952,842.785
19,37,1724.197,665.530,38,1585.059,663.149
20,39,1582.887,667.494,40,1636.583,736.506
21,41,1582.742,661.285,42,771.870,662.244
22,43,1634.845,772.931,44,1494.442,665.698
23,45,1024.310,627.666,46,70.257,510.172
24,47,1201.746,633.017,48,1025.903,629.476
25,49,1024.672,635.089,50,771.834,656.511
26,51,770.341,660.431,52,341.628,638.447
27,53,-330.101,317.568,54,205.119,465.215
28,55,206.239,467.174,56,340.712,481.200
29,57,316.792,746.275,58,352.827,560.262
30,59,266.866,288.336,60,376.575,470.552
31,61,282.673,621.034,62,67.954,517.176
32,63,-75.598,459.849,64,-485.075,317.194
33,65,67.915,511.285,66,-73.992,462.304
34,67,421.359,502.115,68,655.187,596.383
35,69,656.518,601.957,70,817.423,605.339
36,71,819.862,607.507,72,3159.548,654.021
37,73,359.168,571.990,74,347.074,629.074
38,75,375.585,475.127,76,361.435,570.634
39,77,1587.564,945.180,78,1646.195,590.443
40,79,422.778,496.723,80,803.801,584.125
41,81,2797.583,617.947,82,2892.517,619.702
42,83,803.801,584.125,84,1570.863,595.655
43,85,2321.046,609.200,86,2795.735,616.161
44,87,2890.890,551.447,88,2892.667,615.959
45,89,2894.194,617.922,90,2989.529,622.537
46,91,2991.251,624.391,92,3161.074,646.665
47,93,1499.004,589.294,94,1655.677,587.091
48,95,3168.189,610.719,96,2264.486,487.617
49,97,2275.830,602.698,98,2306.390,583.902
50,99,281.436,626.350,100,-415.000,365.378
51,101,348.746,630.024,102,323.678,748.243
52,103,1656.809,589.143,104,1593.459,947.924
53,105,1646.709,587.638,106,1575.134,486.555
54,107,2722.890,3742.067,108,2792.246,3387.154
55,109,3336.520,2164.842,110,3637.324,1767.919
56,111,2346.274,643.190,112,1652.807,637.678
57,113,4203.180,1627.224,114,3833.827,1607.395
58,115,2847.834,2925.297,116,3335.478,2169.183
59,117,4062.076,1204.299,118,4299.319,885.407
60,119,3761.903,995.296,120,3857.652,1110.490
61,121,3717.238,1646.454,122,3754.861,1060.828
62,123,4028.724,1392.064,124,3757.991,1058.799
63,125,3943.846,1410.079,126,4029.951,1393.335
64,127,3856.963,1112.556,128,4234.037,1570.769
65,129,3862.632,1107.947,130,3959.993,1202.098
66,131,4054.828,1198.742,132,3962.761,1199.730
67,133,2867.117,3391.306,134,2751.200,3741.671
68,135,4349.509,1749.904,136,4204.653,1626.016
69,137,4874.001,299.593,138,5890.564,-667.649
70,139,3637.437,1764.892,140,3723.920,1652.743
71,141,354.714,560.254,142,367.556,496.871
72,143,365.863,496.152,144,264.285,298.085
73,145,5339.012,2365.238,146,5967.281,2603.590
74,147,5343.410,2357.135,148,5557.396,2452.553
75,149,3725.886,1653.234,150,4060.143,1204.058
76,151,4297.279,881.637,152,4871.895,299.011
77,153,5560.940,2453.998,154,5725.926,2498.859
78,155,2744.137,3739.504,156,2678.825,3867.544
79,157,4131.851,1413.265,158,4445.103,1684.583
80,159,4271.312,975.954,160,4345.672,1564.151
81,161,4447.197,1685.916,162,4582.852,1766.196
82,163,4345.245,1566.324,164,4759.652,1950.861
83,165,4347.791,1563.300,166,4585.517,1761.245
84,167,3961.762,1201.304,168,4130.065,1414.030
85,169,4584.565,1764.863,170,4754.478,1829.271
86,171,4754.800,1831.271,172,4878.875,1875.204
87,173,4207.042,1623.119,174,4010.960,1292.960
88,175,4353.718,1743.995,176,4174.228,1541.254
89,177,4235.844,1570.131,178,4754.551,1958.572
90,179,4487.017,1845.078,180,4350.903,1748.674
91,181,4177.655,1536.799,182,4000.720,1314.396
92,183,4226.422,941.882,184,4290.400,878.530
93,185,4260.931,968.395,186,3939.280,1404.600
94,187,4430.717,759.143,188,4264.445,969.709
95,189,3936.760,1404.649,190,3699.341,1718.471
96,191,6332.059,-1341.355,192,6333.956,-1306.949
97,193,3829.081,1608.828,194,3709.016,1727.023
98,195,5388.097,2071.560,196,5026.949,1941.337
99,197,4914.084,1559.297,198,4918.481,1831.638
100,199,2671.245,3878.099,200,2662.662,3892.467
101,201,2714.148,3738.818,202,2746.458,3422.122
102,203,5894.856,-674.517,204,6056.953,-828.580
103,205,6060.434,-826.948,206,6735.222,-1475.846
104,207,6052.507,-834.555,208,6262.622,-1072.760
105,209,6262.108,-1074.913,210,6312.236,-1133.809
106,211,6332.169,-1297.717,212,6408.018,-1276.693
107,213,5274.528,-1583.564,214,6022.809,-1382.791
108,215,6024.487,-1384.211,216,6224.777,-1328.894
109,217,6392.928,-1261.880,218,6336.350,-1385.060
110,219,6343.762,-1382.570,220,6330.665,-1342.940
111,221,6226.193,-1328.398,222,6281.889,-1313.784
112,223,6328.672,-1342.776,224,6308.273,-1261.721
113,225,6447.310,-1247.510,226,6727.607,-1483.668
114,227,6415.489,-1273.036,228,6549.230,-1236.124
115,229,6775.812,-1474.780,230,6663.206,-1342.644
116,231,6660.079,-1341.307,232,6621.713,-1284.388
117,233,6619.828,-1284.768,234,6574.575,-1217.476
118,235,6553.453,-1238.791,236,6709.064,-1192.854
119,237,6624.424,-1281.131,238,6636.326,-1222.280
120,239,6711.720,-1191.946,240,6814.335,-1146.022
121,241,6828.259,-1137.042,242,7027.719,-984.032
122,243,6998.204,-974.294,244,6787.632,-1131.064
123,245,6282.789,-1311.556,246,6329.947,-1298.294
124,247,3977.431,1320.346,248,3830.044,1603.612
125,249,6785.012,-1130.042,250,6739.541,-1150.123
126,251,6738.248,-1152.519,252,6654.673,-1181.056
127,253,6652.568,-1181.439,254,6595.867,-1198.713
128,255,6586.650,-1202.843,256,6447.398,-1241.267
129,257,6443.174,-1238.709,258,6364.534,-1261.052
130,259,6362.420,-1259.813,260,6131.068,-1323.010
131,261,6130.264,-1325.192,262,5785.838,-1417.691
132,263,5784.499,-1419.988,264,5630.047,-1462.438
133,265,6553.009,-1226.789,266,6085.308,-811.288
134,267,6261.939,-1149.632,268,6280.945,-1209.466
135,269,6314.045,-1261.802,270,6281.083,-1176.825
136,271,6955.627,-1656.114,272,6771.453,-1480.450
137,273,8247.955,-2737.413,274,6955.146,-1658.066
138,275,6768.283,-1482.405,276,6077.813,-819.244
139,277,6079.319,-815.737,278,5888.282,-634.625
140,279,5885.882,-634.995,280,4659.252,528.912
141,281,3701.354,1721.889,282,3453.744,2048.005
142,283,3451.561,2047.915,284,3235.659,2337.895
143,285,3233.213,2338.080,286,2854.984,2954.636
144,287,2650.782,3867.832,288,2720.250,3743.184
146,289,2553.129,3355.421,290,2758.569,3362.081
147,291,3146.918,3401.608,292,2979.048,3410.196
148,293,2746.056,3420.890,294,2740.364,3395.124
149,295,2759.444,3364.112,296,2866.872,3387.345
150,297,2868.564,3385.774,298,2938.518,3398.788
151,299,2938.920,3400.533,300,2977.572,3401.204
152,301,2978.484,3399.459,302,3146.753,3393.957
153,303,2977.546,3410.317,304,2546.598,3363.212
154,305,2978.377,3404.827,306,3014.720,3477.782
155,307,2989.654,3448.588,308,2984.289,3419.533
156,309,3009.084,3479.795,310,2991.645,3448.753
157,311,2854.818,2955.430,312,2810.989,3365.961
158,313,5714.546,2495.330,314,5968.689,2594.571
159,315,5968.616,2601.947,316,6096.008,2621.320
160,317,6096.500,2623.106,318,6346.905,2700.732
161,319,6958.925,3763.867,320,6340.308,2714.127
162,321,6042.500,2630.190,322,5382.821,2415.163
163,323,6259.950,2677.638,324,6043.068,2632.132
164,325,5720.141,2612.046,326,5378.325,2423.232
165,327,5381.313,2416.344,328,4916.325,2095.582
166,329,4912.694,2099.597,330,4485.255,1848.326
167,331,4918.054,2092.267,332,4179.654,1536.320
168,333,6039.158,2639.083,334,5899.169,2633.024
169,335,5897.833,2631.243,336,5729.289,2627.001
170,337,4128.793,1415.535,338,4239.033,1565.347
171,339,4919.513,1901.607,340,4489.439,1842.325
172,341,5026.420,1941.072,342,4940.823,1909.868
173,343,4907.021,1880.084,344,4906.519,1826.205
174,345,4915.546,1886.067,346,4912.632,2211.645
175,347,4916.626,1832.874,348,4915.582,1885.101
176,349,4898.652,1882.209,350,5301.343,2028.172
177,351,4907.242,2210.949,352,4904.981,1971.780
178,353,4904.981,1970.389,354,4905.793,1922.786
179,355,5711.100,2890.066,356,5708.278,2613.940
180,357,5709.981,2613.372,358,5711.026,2496.650
181,359,5709.119,2495.036,360,5712.415,2374.621
182,361,5726.828,2235.909,362,5727.099,2464.835
183,363,5723.799,2499.874,364,5723.886,2611.282
184,365,5725.675,2612.487,366,5720.939,2890.066
185,367,340.830,638.282,368,282.829,624.892
186,369,1572.167,593.884,370,1725.650,597.517
187,371,1726.453,599.337,372,2321.046,609.200
188,373,2809.420,3391.622,374,2742.764,3738.133
189,375,2810.989,3365.961,376,2809.420,3391.622
190,377,2792.246,3387.154,378,2793.969,3362.548
191,379,2793.969,3362.548,380,2847.690,2925.952
192,381,1238.340,586.996,382,1279.153,519.762
193,383,1282.629,521.435,384,1260.904,587.637
194,385,893.540,696.903,386,877.594,667.403
195,387,915.332,667.137,388,896.995,697.168
196,389,2309.230,583.356,390,2335.543,536.351
197,391,2266.122,484.120,392,3169.181,606.988
198,393,2365.995,538.866,394,2351.470,604.455
199,395,6368.895,-1201.196,396,6387.794,-1223.098
200,397,6311.864,-1135.890,398,6366.093,-1200.652
201,399,6362.302,-1204.740,400,6362.137,-1254.024
202,401,6282.910,-1209.667,402,6299.036,-1258.695
203,403,6300.444,-1264.433,404,6308.897,-1300.506
204,405,6733.271,-1479.027,406,6911.753,-1647.158
205,407,4658.324,532.394,408,4429.845,757.461
206,409,1652.807,637.678,410,1205.133,631.274
207,411,5725.333,2466.441,412,5725.173,2481.050
208,413,6914.617,-1647.349,414,8231.933,-2751.146
209,415,6277.298,-1303.150,416,6306.531,-1264.238
210,417,6389.764,-1222.740,418,6404.091,-1241.186
211,419,6385.824,-1226.859,420,6392.271,-1244.947
212,421,6297.406,-1259.657,422,6298.525,-1264.320
213,423,2742.201,3394.168,424,2740.220,3374.484
214,425,2738.611,3395.035,426,2729.325,3375.350
215,427,4878.535,1877.152,428,4896.938,1883.558
216,429,4907.636,1922.374,430,4907.924,1907.703
217,431,4904.715,1825.080,432,4904.715,1789.516
218,433,4940.133,1907.778,434,4922.222,1900.704
219,435,1573.878,484.672,436,1569.417,588.229
220,437,6340.168,2714.063,438,6261.538,2676.312
221,439,6347.672,2701.240,440,6973.143,3756.047
222,441,4010.960,1292.960,442,4225.835,944.924
223,443,340.712,481.200,444,421.217,498.142
224,445,1974.184,6351.572,446,2045.549,5301.541
225,447,2038.086,5296.273,448,2030.725,5066.038
226,449,2047.558,5298.557,450,2083.893,4999.327
227,451,2186.753,4719.987,452,2107.137,4983.576
228,453,2164.376,5038.255,454,2080.001,5289.406
229,455,2072.459,5289.231,456,2051.811,5584.486
230,457,2150.954,5003.878,458,2347.770,5103.498
231,459,2038.310,4947.643,460,2134.155,4766.577
232,461,2195.616,4723.439,462,2179.101,4877.730
233,463,2661.959,3893.756,464,2307.969,4457.947
234,465,2309.006,4459.428,466,2189.224,4718.607
235,467,2102.438,5004.099,468,2068.814,5288.577
236,469,2030.506,5065.819,470,2025.170,4982.886
237,471,2088.820,4977.630,472,2144.636,4769.930
238,473,2141.540,4767.866,474,2245.636,4520.107
239,475,2181.019,5026.550,476,2093.373,4995.811
240,477,2084.763,4991.506,478,2049.981,4979.452
241,479,2015.033,4960.832,480,2095.160,4987.120
242,481,2098.896,4990.125,482,2149.417,5007.242
243,483,2179.409,4877.628,484,2172.409,5002.456
244,485,2484.861,5286.502,486,2237.580,5047.222
245,487,2236.958,5048.746,488,2184.576,5029.752
246,489,2005.873,4969.656,490,1883.620,4933.500
247,491,2049.147,4981.109,492,2006.563,4968.062
248,493,1482.591,4804.903,494,1780.057,4890.951
249,495,2435.218,4221.554,496,2617.492,3930.266
250,497,2250.600,4514.100,498,2430.802,4225.106
251,499,2049.818,5584.767,500,2008.397,6170.363
252,501,1792.169,4892.752,502,2014.194,4958.409
