LINK,DIR,LANES,TYPE,USE,MIN_TYPE,MAX_TYPE,MIN_TRAV,MAX_TRAV,START,END,LENGTH,OFFSET,TOLL,TOLL_RATE,MIN_DELAY,MAX_DELAY,SPEED,SPD_FAC,CAPACITY,CAP_FAC,NOTES
368,0,2,PROHIBIT,CAR|BUS,0,0,0,0,15:00,1@17:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf
368,0,1,PROHIBIT,CAR|BUS,0,0,0,0,15:00,1@17:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf
446,0,1,PROHIBIT,CAR|BUS,0,0,0,0,15:00,1@17:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf
677,0,1,PROHIBIT,CAR|BUS,0,0,0,0,15:00,1@17:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf
726,1,1,PROHIBIT,CAR|BUS,0,0,0,0,0:00,16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf lane off (normal flow)
726,1,1,PROHIBIT,CAR|BUS,0,0,0,0,1@16:00,2@2:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf lane off (normal flow)
734,1,1,PROHIBIT,CAR|BUS,0,0,0,0,0:00,16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf lane off (normal flow)
734,1,1,PROHIBIT,CAR|BUS,0,0,0,0,1@16:00,2@2:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf lane off (normal flow)
771,0,1,PROHIBIT,CAR|BUS,0,0,0,0,15:00,1@17:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf
978,0,1,PROHIBIT,CAR|BUS,0,0,0,0,15:00,1@17:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf
1010,0,1,PROHIBIT,CAR|BUS,0,0,0,0,15:00,1@17:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf
6468,0,2,PROHIBIT,CAR|BUS,0,0,0,0,16:00,1@17:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,lane off
6468,0,1,PROHIBIT,CAR|BUS,0,0,0,0,16:00,1@17:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,lane off
6477,0,1,PROHIBIT,CAR|BUS,0,0,0,0,15:00,1@17:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf
54749,0,1,PROHIBIT,CAR|BUS,0,0,0,0,15:00,1@17:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf
56032,0,2,PROHIBIT,CAR|BUS,0,0,0,0,15:00,1@17:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf
56032,0,1,PROHIBIT,CAR|BUS,0,0,0,0,15:00,1@17:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf
56044,0,2,PROHIBIT,CAR|BUS,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf
56044,0,1,PROHIBIT,CAR|BUS,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf
56065,0,1,PROHIBIT,CAR|BUS,0,0,0,0,15:00,1@17:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf
56069,0,2,PROHIBIT,CAR|BUS,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf
56069,0,1,PROHIBIT,CAR|BUS,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf
56071,0,R1,PROHIBIT,CAR|BUS,0,0,0,0,0:00,16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf lane off (normal flow)
56071,0,R1,PROHIBIT,CAR|BUS,0,0,0,0,1@16:00,2@2:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf lane off (normal flow)
56073,0,3,PROHIBIT,CAR|BUS,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,lane off
56073,0,2,PROHIBIT,CAR|BUS,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,lane off
56084,0,1,PROHIBIT,CAR|BUS,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf
56124,0,1,PROHIBIT,CAR|BUS,0,0,0,0,15:00,1@17:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf
56175,0,1,PROHIBIT,CAR|BUS,0,0,0,0,15:00,1@17:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf
56372,0,2,PROHIBIT,CAR|BUS,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf
56372,0,1,PROHIBIT,CAR|BUS,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf
56410,0,2,PROHIBIT,CAR|BUS,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf
56410,0,1,PROHIBIT,CAR|BUS,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf
56863,0,1,PROHIBIT,CAR|BUS,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf
56865,0,2,PROHIBIT,CAR|BUS,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf
56865,0,1,PROHIBIT,CAR|BUS,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf
56895,0,1,PROHIBIT,CAR|BUS,0,0,0,0,15:00,1@17:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf
58297,0,2,PROHIBIT,CAR|BUS,0,0,0,0,15:00,1@17:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf
58297,0,1,PROHIBIT,CAR|BUS,0,0,0,0,15:00,1@17:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf
58309,1,2,PROHIBIT,CAR|BUS,0,0,0,0,0:00,16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf lane off (normal flow)
58309,1,1,PROHIBIT,CAR|BUS,0,0,0,0,0:00,16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf lane off (normal flow)
58310,0,2,PROHIBIT,CAR|BUS,0,0,0,0,15:00,1@17:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf
58310,0,1,PROHIBIT,CAR|BUS,0,0,0,0,15:00,1@17:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf
58314,1,1,PROHIBIT,CAR|BUS,0,0,0,0,0:00,16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf lane off (normal flow)
58314,1,1,PROHIBIT,CAR|BUS,0,0,0,0,1@16:00,2@2:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf lane off (normal flow)
58317,0,1,PROHIBIT,CAR|BUS,0,0,0,0,0:00,16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf lane off (normal flow)
58317,0,1,PROHIBIT,CAR|BUS,0,0,0,0,1@16:00,2@2:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf lane off (normal flow)
58318,1,1,PROHIBIT,CAR|BUS,0,0,0,0,0:00,16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf lane off (normal flow)
58318,1,1,PROHIBIT,CAR|BUS,0,0,0,0,1@16:00,2@2:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf lane off (normal flow)
58320,0,1,PROHIBIT,CAR|BUS,0,0,0,0,0:00,16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf lane off (normal flow)
58320,0,1,PROHIBIT,CAR|BUS,0,0,0,0,1@16:00,2@2:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf lane off (normal flow)
58326,0,1,PROHIBIT,CAR|BUS,0,0,0,0,15:00,1@17:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf
58331,0,1,PROHIBIT,CAR|BUS,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf
58341,0,1,PROHIBIT,CAR|BUS,0,0,0,0,16:00,1@17:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,lane off
58344,0,2,PROHIBIT,CAR|BUS,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf
58344,0,1,PROHIBIT,CAR|BUS,0,0,0,0,16:00,1@16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf
58346,0,2,PROHIBIT,CAR|BUS,0,0,0,0,0:00,16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf lane off (normal flow)
58346,0,1,PROHIBIT,CAR|BUS,0,0,0,0,0:00,16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf lane off (normal flow)
58346,0,2,PROHIBIT,CAR|BUS,0,0,0,0,1@16:00,2@2:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf lane off (normal flow)
58346,0,1,PROHIBIT,CAR|BUS,0,0,0,0,1@16:00,2@2:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf lane off (normal flow)
58350,0,2,PROHIBIT,CAR|BUS,0,0,0,0,0:00,16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf lane off (normal flow)
58350,0,1,PROHIBIT,CAR|BUS,0,0,0,0,0:00,16:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf lane off (normal flow)
58350,0,2,PROHIBIT,CAR|BUS,0,0,0,0,1@16:00,2@2:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf lane off (normal flow)
58350,0,1,PROHIBIT,CAR|BUS,0,0,0,0,1@16:00,2@2:00,0.0,0.0,0,0.0,0.0,0.0,0.0,0.00,0,0.00,cf lane off (normal flow)
