LINK,DIR,SIGN,NOTES
52,0,YIELD,
68,0,STOP,
102,0,YIELD,
114,0,YIELD,
128,0,YIELD,
201,0,YIELD,
204,0,YIELD,
205,0,YIELD,
209,0,YIELD,
224,0,YIELD,
242,0,YIELD,
252,1,YIELD,
255,0,STOP,
255,1,STOP,
499,0,STOP,
499,1,STOP,
523,0,YIELD,
720,0,YIELD,
851,0,YIELD,
899,0,YIELD,
907,0,YIELD,
915,0,YIELD,
923,0,YIELD,
924,0,YIELD,
969,1,YIELD,
986,1,YIELD,
994,0,YIELD,
1053,0,YIELD,
1239,0,STOP,
1268,0,STOP,
1306,0,STOP,
1306,1,STOP,
1591,0,STOP,
1594,0,STOP,
1595,0,STOP,
1738,0,YIELD,
1778,0,YIELD,
1783,1,STOP,
1784,0,STOP,
1870,1,STOP,
1935,0,YIELD,
1965,1,STOP,
1968,0,STOP,
2034,0,STOP,
2035,0,STOP,
2040,0,STOP,
2471,0,STOP,
2593,0,STOP,
2593,1,STOP,
2642,0,YIELD,
2770,0,YIELD,
2795,0,STOP,
2823,0,YIELD,
2827,1,STOP,
2874,0,YIELD,
2976,1,STOP,
3002,0,STOP,
3072,0,STOP,
3080,0,STOP,
3100,0,YIELD,
3109,0,STOP,
3185,0,YIELD,
3328,0,STOP,
3351,0,STOP,
3365,0,STOP,
3397,0,YIELD,
3431,0,STOP,
3431,1,STOP,
3445,0,YIELD,
3462,0,YIELD,
3466,0,YIELD,
3527,0,YIELD,
3533,0,YIELD,
3601,0,YIELD,
3620,0,YIELD,
3641,0,YIELD,
3823,0,STOP,
3924,1,STOP,
3953,0,YIELD,
3971,0,YIELD,
3976,0,YIELD,
4068,0,STOP,
4068,1,STOP,
4069,1,STOP,
4071,1,STOP,
4072,1,STOP,
4080,0,STOP,
4080,1,STOP,
4084,1,STOP,
4095,1,STOP,
4114,0,YIELD,
4199,0,YIELD,
4204,0,YIELD,
4239,0,STOP,
4243,0,STOP,
4313,0,YIELD,
4321,0,YIELD,
4346,0,STOP,
4354,1,STOP,
4574,0,YIELD,
4608,0,STOP,
4634,0,YIELD,
4669,0,YIELD,
4676,0,YIELD,
4774,0,YIELD,
4784,0,YIELD,
4814,0,YIELD,
4821,0,YIELD,
4858,0,YIELD,
4920,0,YIELD,
4941,0,YIELD,
4966,0,YIELD,
4976,0,YIELD,
4977,0,YIELD,
4987,0,YIELD,
5078,1,STOP,
5104,0,STOP,
5121,0,STOP,
5134,1,YIELD,
5192,0,STOP,
5225,1,STOP,
5246,1,STOP,
5382,0,STOP,
5397,0,STOP,
5415,0,STOP,
5416,0,STOP,
5425,1,STOP,
5433,0,STOP,
5435,1,STOP,
5436,0,STOP,
5437,1,STOP,
5504,1,STOP,
5517,0,STOP,
5540,0,STOP,
5550,0,STOP,
5619,0,STOP,
5822,0,STOP,
5826,0,STOP,
5827,0,STOP,
5828,0,STOP,
5837,1,STOP,
5841,0,STOP,
5844,0,STOP,
5845,1,STOP,
5846,1,STOP,
5851,0,STOP,
5900,0,STOP,
5987,1,STOP,
6037,1,STOP,
6048,1,STOP,
6055,0,STOP,
6056,1,STOP,
6091,0,STOP,
6091,1,STOP,
6107,1,STOP,
6109,1,STOP,
6150,0,YIELD,
6172,0,STOP,
6187,1,STOP,
6195,0,STOP,
6195,1,STOP,
6198,0,YIELD,
6199,0,YIELD,
6200,0,YIELD,
6254,0,STOP,
6283,0,STOP,
6283,1,STOP,
6290,0,STOP,
6290,1,STOP,
6300,0,YIELD,
6301,0,YIELD,
6309,0,STOP,
6309,1,STOP,
6315,0,STOP,
6317,0,STOP,
6319,0,STOP,
6319,1,STOP,
6325,0,STOP,
6325,1,STOP,
6326,0,STOP,
6326,1,STOP,
6333,0,YIELD,
6334,0,YIELD,
6347,0,STOP,
6347,1,STOP,
6382,1,STOP,
6387,1,STOP,
6484,0,YIELD,
6485,0,YIELD,
6495,1,STOP,
6658,0,STOP,
7500,0,STOP,
7500,1,STOP,
7501,0,STOP,
7501,1,STOP,
7504,0,STOP,
7504,1,STOP,
7505,0,STOP,
7505,1,STOP,
7509,0,STOP,
7509,1,STOP,
7535,0,STOP,
7535,1,STOP,
7539,0,STOP,
7539,1,STOP,
7541,0,STOP,
7541,1,STOP,
7542,0,STOP,
7542,1,STOP,
7544,0,STOP,
7544,1,STOP,
7547,0,STOP,
7547,1,STOP,
7551,0,STOP,
7551,1,STOP,
7552,0,STOP,
7552,1,STOP,
7553,0,STOP,
7553,1,STOP,
7554,0,STOP,
7554,1,STOP,
7555,0,STOP,
7555,1,STOP,
7556,0,STOP,
7556,1,STOP,
7557,0,STOP,
7557,1,STOP,
7558,0,STOP,
7558,1,STOP,
7559,0,STOP,
7559,1,STOP,
7560,0,STOP,
7560,1,STOP,
7561,0,STOP,
7561,1,STOP,
7562,0,STOP,
7562,1,STOP,
7563,0,STOP,
7563,1,STOP,
7565,0,STOP,
7565,1,STOP,
7567,0,STOP,
7567,1,STOP,
7570,0,STOP,
7570,1,STOP,
7571,0,STOP,
7571,1,STOP,
7572,0,STOP,
7572,1,STOP,
7573,0,STOP,
7573,1,STOP,
7576,0,STOP,
7576,1,STOP,
7577,0,STOP,
7577,1,STOP,
7579,0,STOP,
7579,1,STOP,
7580,0,STOP,
7580,1,STOP,
7581,0,STOP,
7581,1,STOP,
7582,0,STOP,
7582,1,STOP,
7587,0,STOP,
7587,1,STOP,
7592,0,STOP,
7592,1,STOP,
7593,0,STOP,
7593,1,STOP,
7598,0,STOP,
7598,1,STOP,
7601,0,STOP,
7601,1,STOP,
7603,0,STOP,
7603,1,STOP,
7604,0,STOP,
7604,1,STOP,
7610,0,STOP,
7610,1,STOP,
7620,0,STOP,
7620,1,STOP,
7622,0,STOP,
7622,1,STOP,
7628,0,STOP,
7628,1,STOP,
7633,0,STOP,
7633,1,STOP,
7642,0,STOP,
7642,1,STOP,
7646,0,STOP,
7646,1,STOP,
7659,0,STOP,
7659,1,STOP,
7660,0,STOP,
7660,1,STOP,
7661,0,STOP,
7661,1,STOP,
7665,0,STOP,
7665,1,STOP,
7667,0,STOP,
7667,1,STOP,
7678,0,STOP,
7678,1,STOP,
7679,0,STOP,
7679,1,STOP,
7680,0,STOP,
7680,1,STOP,
7681,0,STOP,
7681,1,STOP,
7683,0,STOP,
7683,1,STOP,
7686,0,STOP,
7686,1,STOP,
7691,0,STOP,
7691,1,STOP,
7692,0,STOP,
7692,1,STOP,
7693,0,STOP,
7693,1,STOP,
7695,1,STOP,
7701,0,STOP,
7705,0,STOP,
7705,1,STOP,
7706,0,STOP,
7706,1,STOP,
7707,1,STOP,
7709,0,STOP,
7710,0,STOP,
7710,1,STOP,
7720,0,STOP,
7720,1,STOP,
7726,0,STOP,
7726,1,STOP,
7727,0,STOP,
7727,1,STOP,
7728,0,STOP,
7728,1,STOP,
7730,0,STOP,
7730,1,STOP,
7734,0,STOP,
7734,1,STOP,
7737,0,STOP,
7737,1,STOP,
7761,0,STOP,
7761,1,STOP,
7764,0,STOP,
7764,1,STOP,
7765,0,STOP,
7765,1,STOP,
7772,0,STOP,
7772,1,STOP,
7788,0,STOP,
7788,1,STOP,
7789,0,STOP,
7789,1,STOP,
7790,0,STOP,
7790,1,STOP,
7794,0,STOP,
7795,0,STOP,
7795,1,STOP,
7804,1,STOP,
7822,0,STOP,
7822,1,STOP,
7823,0,STOP,
7823,1,STOP,
7888,0,STOP,
7891,0,STOP,
7892,0,STOP,
7894,0,STOP,
7930,0,STOP,
7930,1,STOP,
7931,0,STOP,
7931,1,STOP,
7932,0,STOP,
7932,1,STOP,
7933,0,STOP,
7933,1,STOP,
7934,0,STOP,
7934,1,STOP,
7938,0,STOP,
7938,1,STOP,
7939,0,STOP,
7939,1,STOP,
7940,0,STOP,
7940,1,STOP,
7976,0,STOP,
7976,1,STOP,
7977,0,STOP,
7977,1,STOP,
7979,0,STOP,
7979,1,STOP,
7988,0,STOP,
7988,1,STOP,
7991,0,STOP,
7993,0,STOP,
7995,0,STOP,
7995,1,STOP,
8000,0,STOP,
8000,1,STOP,
8002,0,STOP,
8002,1,STOP,
8008,0,STOP,
8008,1,STOP,
8009,0,STOP,
8009,1,STOP,
8023,0,STOP,
8023,1,STOP,
8024,0,STOP,
8024,1,STOP,
8032,0,STOP,
8032,1,STOP,
8035,0,STOP,
8035,1,STOP,
8036,0,STOP,
8036,1,STOP,
8037,0,STOP,
8037,1,STOP,
8038,0,STOP,
8038,1,STOP,
8039,0,STOP,
8039,1,STOP,
8042,0,STOP,
8042,1,STOP,
8043,0,STOP,
8043,1,STOP,
8048,0,STOP,
8048,1,STOP,
8050,0,STOP,
8050,1,STOP,
8052,0,STOP,
8052,1,STOP,
8057,0,STOP,
8057,1,STOP,
8058,0,STOP,
8058,1,STOP,
8059,0,STOP,
8059,1,STOP,
8060,0,STOP,
8060,1,STOP,
8061,0,STOP,
8061,1,STOP,
8062,0,STOP,
8062,1,STOP,
8065,0,STOP,
8065,1,STOP,
8066,0,STOP,
8069,0,STOP,
8069,1,STOP,
8070,0,STOP,
8070,1,STOP,
8071,0,STOP,
8076,0,STOP,
8076,1,STOP,
8077,0,STOP,
8077,1,STOP,
8080,0,STOP,
8080,1,STOP,
8082,0,STOP,
8082,1,STOP,
8084,0,STOP,
8084,1,STOP,
8085,0,STOP,
8088,0,STOP,
8094,0,STOP,
8094,1,STOP,
8096,0,STOP,
8096,1,STOP,
8097,0,STOP,
8097,1,STOP,
8098,0,STOP,
8098,1,STOP,
8099,0,STOP,
8099,1,STOP,
8113,0,STOP,
8113,1,STOP,
8114,0,STOP,
8114,1,STOP,
8115,0,STOP,
8115,1,STOP,
8116,0,STOP,
8116,1,STOP,
8118,0,STOP,
8118,1,STOP,
8131,0,STOP,
8132,0,STOP,
8132,1,STOP,
8134,0,STOP,
8134,1,STOP,
8140,0,STOP,
8141,0,STOP,
8153,0,STOP,
8153,1,STOP,
8155,0,STOP,
8155,1,STOP,
8158,0,STOP,
8159,0,STOP,
8175,0,STOP,
8175,1,STOP,
8176,0,STOP,
8176,1,STOP,
8178,0,STOP,
8183,0,STOP,
8183,1,STOP,
8184,0,STOP,
8184,1,STOP,
8185,0,STOP,
8185,1,STOP,
8188,0,STOP,
8188,1,STOP,
8189,0,STOP,
8189,1,STOP,
8190,0,STOP,
8190,1,STOP,
8192,0,STOP,
8192,1,STOP,
8195,0,STOP,
8195,1,STOP,
8196,0,STOP,
8196,1,STOP,
8199,0,STOP,
8199,1,STOP,
8205,0,STOP,
8205,1,STOP,
8208,0,STOP,
8208,1,STOP,
8212,0,STOP,
8212,1,STOP,
8213,0,STOP,
8213,1,STOP,
8214,0,STOP,
8214,1,STOP,
8216,0,STOP,
8216,1,STOP,
8218,0,STOP,
8218,1,STOP,
8219,0,STOP,
8219,1,STOP,
8220,0,STOP,
8220,1,STOP,
8221,1,STOP,
8222,0,STOP,
8222,1,STOP,
8225,0,STOP,
8225,1,STOP,
8231,0,YIELD,
8232,0,YIELD,
8240,0,YIELD,
8244,0,STOP,
8244,1,STOP,
8274,1,STOP,
8278,0,STOP,
8281,0,STOP,
8282,0,STOP,
8282,1,STOP,
8283,0,STOP,
8283,1,STOP,
8288,0,STOP,
8291,1,STOP,
8293,0,STOP,
8293,1,STOP,
8298,0,STOP,
8298,1,STOP,
8333,0,STOP,
8333,1,STOP,
8341,0,STOP,
8341,1,STOP,
8359,0,STOP,
8359,1,STOP,
8361,0,STOP,
8361,1,STOP,
8370,0,STOP,
8370,1,STOP,
8402,0,STOP,
8402,1,STOP,
8411,0,STOP,
8412,1,STOP,
8455,0,STOP,
8455,1,STOP,
8457,0,YIELD,
8462,0,YIELD,
8466,0,STOP,
8466,1,STOP,
8478,0,STOP,
8478,1,STOP,
8480,0,STOP,
8480,1,STOP,
8497,0,STOP,
8497,1,STOP,
8514,0,STOP,
8514,1,STOP,
8593,0,STOP,
8594,0,STOP,
8595,0,STOP,
8596,0,STOP,
8598,0,STOP,
8633,0,STOP,
8634,0,STOP,
8635,0,STOP,
8639,0,STOP,
8678,0,STOP,
8685,0,STOP,
8691,0,STOP,
8693,0,STOP,
8694,0,STOP,
8695,0,STOP,
8698,0,STOP,
8699,0,STOP,
8700,0,STOP,
8701,0,STOP,
8705,0,STOP,
8706,0,STOP,
8707,0,STOP,
8708,0,STOP,
8712,0,STOP,
8723,0,STOP,
8726,0,STOP,
8727,0,STOP,
8728,0,STOP,
8730,0,STOP,
8822,1,STOP,
8823,0,STOP,
8823,1,STOP,
8824,0,YIELD,
8847,0,YIELD,
54603,0,STOP,
54659,0,YIELD,
54661,0,YIELD,
54662,0,YIELD,
54663,0,YIELD,
54665,0,YIELD,
54666,0,YIELD,
54667,0,STOP,
54673,0,STOP,
54673,1,STOP,
54678,0,STOP,
54680,0,STOP,
54690,0,STOP,
54690,1,STOP,
54724,0,YIELD,
54754,0,YIELD,
54761,0,YIELD,
54780,1,STOP,
54787,0,STOP,
54793,0,STOP,
54807,0,STOP,
54808,0,STOP,
54809,1,STOP,
54813,1,STOP,
54815,1,STOP,
54826,0,YIELD,
54831,0,YIELD,
54875,0,STOP,
54880,0,YIELD,
54886,1,STOP,
54967,0,YIELD,
55023,0,YIELD,
55024,0,YIELD,
55082,1,STOP,
55090,0,YIELD,
55102,1,STOP,
55111,0,STOP,
55131,0,YIELD,
55137,1,STOP,
55441,0,YIELD,
55445,0,YIELD,
55464,0,STOP,
55464,1,STOP,
55647,1,STOP,
55661,0,YIELD,
55667,0,YIELD,
55732,0,STOP,
55732,1,STOP,
55735,0,STOP,
55735,1,STOP,
55740,1,STOP,
55748,0,YIELD,
55805,1,STOP,
55824,0,YIELD,
55913,0,YIELD,
55974,0,YIELD,
56050,0,YIELD,
56060,0,YIELD,
56065,0,YIELD,
56068,0,YIELD,
56072,0,YIELD,
56076,0,YIELD,
56079,0,YIELD,
56080,0,YIELD,
56086,0,YIELD,
56124,0,YIELD,
56157,1,STOP,
56174,0,YIELD,
56175,0,YIELD,
56190,0,YIELD,
56204,1,STOP,
56295,0,YIELD,
56307,0,YIELD,
56309,0,YIELD,
56412,0,YIELD,
56417,0,YIELD,
56492,0,STOP,
56635,0,YIELD,
56639,0,YIELD,
56737,1,STOP,
56895,0,YIELD,
56917,0,YIELD,
56948,0,YIELD,
56949,0,YIELD,
56951,0,YIELD,
56953,0,STOP,
56954,1,YIELD,
56955,1,STOP,
56959,0,YIELD,
56960,1,YIELD,
56971,0,YIELD,
56979,0,YIELD,
57021,0,YIELD,
57031,0,YIELD,
57196,1,YIELD,
57199,0,YIELD,
57221,0,YIELD,
57222,1,YIELD,
57252,1,YIELD,
57258,0,YIELD,
57264,1,YIELD,
57286,1,YIELD,
57401,1,YIELD,
57407,0,YIELD,
57413,1,YIELD,
57741,1,YIELD,
57812,1,YIELD,
57814,0,YIELD,
57889,1,YIELD,
57897,0,YIELD,
57905,1,YIELD,
57906,1,YIELD,
57910,0,YIELD,
57967,1,YIELD,
57982,0,YIELD,
58019,0,YIELD,
58084,0,YIELD,
58119,1,YIELD,
58178,1,YIELD,
58192,0,YIELD,
58250,1,YIELD,
58260,0,YIELD,
58287,0,STOP,
58291,0,YIELD,
58320,0,YIELD,
58323,0,YIELD,
58336,0,YIELD,
58339,0,YIELD,
58342,0,YIELD,
58356,0,STOP,
58356,1,STOP,
58379,0,YIELD,
58386,0,YIELD,
58389,0,STOP,
58392,1,STOP,
58395,0,STOP,
58397,0,STOP,
58398,0,STOP,
